INFO [2026-03-16 14:09:20] Memory: Total: 61649012 kB, Available: 58899104 kB, Active: 1773560 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:21] Processing missing values ...
INFO [2026-03-16 14:09:21] Figuring out comparisons to do ...
INFO [2026-03-16 14:09:21] Splitting up across compute ...
INFO [2026-03-16 14:09:21] Running correlations ...
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 57274164 kB, Active: 3343472 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 57185300 kB, Active: 3436136 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 57104660 kB, Active: 3519404 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 57040148 kB, Active: 3580640 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 57003724 kB, Active: 3635072 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 56987600 kB, Active: 3657752 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 56967256 kB, Active: 3677072 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 56951044 kB, Active: 3688612 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:22] Memory: Total: 61649012 kB, Available: 56934924 kB, Active: 3701572 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:23] Memory: Total: 61649012 kB, Available: 56926860 kB, Active: 3710644 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:23] Memory: Total: 61649012 kB, Available: 56923020 kB, Active: 3714856 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:23] Memory: Total: 61649012 kB, Available: 56914956 kB, Active: 3723280 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:09:23] Memory: Total: 61649012 kB, Available: 56914956 kB, Active: 3724252 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
