INFO [2026-03-16 14:04:56] Memory: Total: 61649012 kB, Available: 58843484 kB, Active: 1835844 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:56] Processing missing values ...
INFO [2026-03-16 14:04:56] Figuring out comparisons to do ...
INFO [2026-03-16 14:04:56] Splitting up across compute ...
INFO [2026-03-16 14:04:56] Running correlations ...
INFO [2026-03-16 14:04:57] Memory: Total: 61649012 kB, Available: 57704828 kB, Active: 2927236 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:57] Memory: Total: 61649012 kB, Available: 57680892 kB, Active: 2957816 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:57] Memory: Total: 61649012 kB, Available: 57655952 kB, Active: 2983952 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:57] Memory: Total: 61649012 kB, Available: 57599136 kB, Active: 3043352 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:57] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3052688 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3054036 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3054808 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3054932 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3056228 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3056236 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3057332 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3058228 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3058764 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3058764 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57591044 kB, Active: 3058764 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57590820 kB, Active: 3059336 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57590820 kB, Active: 3059784 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57590820 kB, Active: 3060232 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57590820 kB, Active: 3059996 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57590820 kB, Active: 3060444 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57590108 kB, Active: 3062556 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:58] Memory: Total: 61649012 kB, Available: 57589868 kB, Active: 3062680 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589868 kB, Active: 3062680 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589868 kB, Active: 3063376 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589868 kB, Active: 3063700 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589616 kB, Active: 3063764 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589616 kB, Active: 3064212 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589112 kB, Active: 3064336 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589112 kB, Active: 3064660 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57589112 kB, Active: 3064460 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57587376 kB, Active: 3069768 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57553736 kB, Active: 3107400 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57525096 kB, Active: 3132072 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57524088 kB, Active: 3132444 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57524088 kB, Active: 3132448 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:04:59] Memory: Total: 61649012 kB, Available: 57524088 kB, Active: 3132448 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
