INFO [2026-03-16 13:59:29] Memory: Total: 61649012 kB, Available: 58830540 kB, Active: 1835756 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:29] Processing missing values ...
INFO [2026-03-16 13:59:29] Figuring out comparisons to do ...
INFO [2026-03-16 13:59:29] Splitting up across compute ...
INFO [2026-03-16 13:59:29] Running correlations ...
INFO [2026-03-16 13:59:30] Memory: Total: 61649012 kB, Available: 58211780 kB, Active: 2452352 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:30] Memory: Total: 61649012 kB, Available: 58202644 kB, Active: 2452920 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:30] Memory: Total: 61649012 kB, Available: 58202644 kB, Active: 2454340 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:30] Memory: Total: 61649012 kB, Available: 58202644 kB, Active: 2455112 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2457400 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2457524 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2457524 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2457648 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2458516 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2458964 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2459088 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202284 kB, Active: 2459088 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202100 kB, Active: 2460796 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202100 kB, Active: 2460920 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202100 kB, Active: 2461044 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:31] Memory: Total: 61649012 kB, Available: 58202100 kB, Active: 2461044 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58202100 kB, Active: 2462036 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58202100 kB, Active: 2462036 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58200348 kB, Active: 2463456 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58178172 kB, Active: 2479132 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58122596 kB, Active: 2530544 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58122596 kB, Active: 2530668 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58122596 kB, Active: 2530668 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:32] Memory: Total: 61649012 kB, Available: 58122596 kB, Active: 2530792 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58122216 kB, Active: 2532408 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58121964 kB, Active: 2532532 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58121964 kB, Active: 2532656 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58121964 kB, Active: 2532780 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58120452 kB, Active: 2533524 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58120452 kB, Active: 2533648 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58120452 kB, Active: 2533648 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58120452 kB, Active: 2533772 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58119956 kB, Active: 2534840 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58119956 kB, Active: 2534648 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58119956 kB, Active: 2534972 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:33] Memory: Total: 61649012 kB, Available: 58118952 kB, Active: 2535996 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:34] Memory: Total: 61649012 kB, Available: 58118952 kB, Active: 2536740 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:34] Memory: Total: 61649012 kB, Available: 58118952 kB, Active: 2536864 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:34] Memory: Total: 61649012 kB, Available: 58118952 kB, Active: 2536864 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:34] Memory: Total: 61649012 kB, Available: 58116936 kB, Active: 2536988 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:34] Memory: Total: 61649012 kB, Available: 58116936 kB, Active: 2537732 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:34] Memory: Total: 61649012 kB, Available: 58116936 kB, Active: 2537856 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:59:34] Memory: Total: 61649012 kB, Available: 58116936 kB, Active: 2537856 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
