INFO [2026-03-16 13:54:42] Memory: Total: 61649012 kB, Available: 58894988 kB, Active: 1772988 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:42] Processing missing values ...
INFO [2026-03-16 13:54:43] Figuring out comparisons to do ...
INFO [2026-03-16 13:54:43] Splitting up across compute ...
INFO [2026-03-16 13:54:43] Running correlations ...
INFO [2026-03-16 13:54:43] Memory: Total: 61649012 kB, Available: 58524184 kB, Active: 2129804 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:43] Memory: Total: 61649012 kB, Available: 58523196 kB, Active: 2132844 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:44] Memory: Total: 61649012 kB, Available: 58522612 kB, Active: 2135460 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:44] Memory: Total: 61649012 kB, Available: 58522612 kB, Active: 2135908 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:44] Memory: Total: 61649012 kB, Available: 58522612 kB, Active: 2137148 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:44] Memory: Total: 61649012 kB, Available: 58522612 kB, Active: 2137272 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:45] Memory: Total: 61649012 kB, Available: 58502732 kB, Active: 2157440 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:45] Memory: Total: 61649012 kB, Available: 58490412 kB, Active: 2163760 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:45] Memory: Total: 61649012 kB, Available: 58490412 kB, Active: 2172252 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:45] Memory: Total: 61649012 kB, Available: 58490412 kB, Active: 2172252 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:45] Memory: Total: 61649012 kB, Available: 58490736 kB, Active: 2173548 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:45] Memory: Total: 61649012 kB, Available: 58490780 kB, Active: 2173616 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:46] Memory: Total: 61649012 kB, Available: 58490664 kB, Active: 2175200 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 13:54:46] Memory: Total: 61649012 kB, Available: 58491168 kB, Active: 2175040 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
