INFO [2026-03-16 14:07:14] Memory: Total: 61649012 kB, Available: 58896948 kB, Active: 1773344 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:14] Processing missing values ...
INFO [2026-03-16 14:07:15] Figuring out comparisons to do ...
INFO [2026-03-16 14:07:15] Splitting up across compute ...
INFO [2026-03-16 14:07:15] Running correlations ...
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57546820 kB, Active: 3079964 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57367920 kB, Active: 3259204 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57303228 kB, Active: 3321984 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57303228 kB, Active: 3322956 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57271012 kB, Active: 3352100 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57270760 kB, Active: 3356560 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57252676 kB, Active: 3381356 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57252676 kB, Active: 3386540 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57244672 kB, Active: 3393668 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57227996 kB, Active: 3404408 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57227996 kB, Active: 3405380 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57227512 kB, Active: 3407236 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57227000 kB, Active: 3408272 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57227000 kB, Active: 3408396 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57227000 kB, Active: 3408808 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57225952 kB, Active: 3409680 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:16] Memory: Total: 61649012 kB, Available: 57225952 kB, Active: 3409680 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57225952 kB, Active: 3410408 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57225700 kB, Active: 3410656 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57225700 kB, Active: 3410904 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57225700 kB, Active: 3411028 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57225700 kB, Active: 3411276 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57209984 kB, Active: 3427524 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57209984 kB, Active: 3427848 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57208832 kB, Active: 3427600 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57208832 kB, Active: 3427972 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57208832 kB, Active: 3428096 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57193104 kB, Active: 3441476 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57193104 kB, Active: 3444520 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57193104 kB, Active: 3444844 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57193104 kB, Active: 3444968 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57193104 kB, Active: 3445416 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57193104 kB, Active: 3445740 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57160760 kB, Active: 3468380 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:17] Memory: Total: 61649012 kB, Available: 57160616 kB, Active: 3481420 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:18] Memory: Total: 61649012 kB, Available: 57137228 kB, Active: 3505784 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:18] Memory: Total: 61649012 kB, Available: 57128744 kB, Active: 3511292 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:18] Memory: Total: 61649012 kB, Available: 57112104 kB, Active: 3527720 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:18] Memory: Total: 61649012 kB, Available: 57112104 kB, Active: 3527720 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:18] Memory: Total: 61649012 kB, Available: 57110584 kB, Active: 3529340 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:07:18] Memory: Total: 61649012 kB, Available: 57079224 kB, Active: 3552916 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
