INFO [2026-03-16 14:03:42] Memory: Total: 61649012 kB, Available: 58830428 kB, Active: 1824996 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:42] Processing missing values ...
INFO [2026-03-16 14:03:43] Figuring out comparisons to do ...
INFO [2026-03-16 14:03:43] Splitting up across compute ...
INFO [2026-03-16 14:03:43] Running correlations ...
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57772344 kB, Active: 2846848 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57756152 kB, Active: 2865116 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57748056 kB, Active: 2877544 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57739960 kB, Active: 2885444 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57731504 kB, Active: 2900924 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57731616 kB, Active: 2902644 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2905160 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2905968 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2905932 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2905932 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:44] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2906056 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:45] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2906952 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:45] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2908120 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:45] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2908448 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:45] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2908572 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:03:45] Memory: Total: 61649012 kB, Available: 57730832 kB, Active: 2908896 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
