INFO [2026-03-16 14:01:06] Memory: Total: 61649012 kB, Available: 58905968 kB, Active: 1773732 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:06] Processing missing values ...
INFO [2026-03-16 14:01:07] Figuring out comparisons to do ...
INFO [2026-03-16 14:01:07] Splitting up across compute ...
INFO [2026-03-16 14:01:07] Running correlations ...
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58083888 kB, Active: 2569104 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58076144 kB, Active: 2581092 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58059704 kB, Active: 2597776 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58043512 kB, Active: 2608868 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58043512 kB, Active: 2609960 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58043512 kB, Active: 2612588 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58043512 kB, Active: 2612588 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58043512 kB, Active: 2613364 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58043512 kB, Active: 2613608 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:08] Memory: Total: 61649012 kB, Available: 58043220 kB, Active: 2613964 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 58041872 kB, Active: 2615964 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 58040864 kB, Active: 2615804 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 58040864 kB, Active: 2615860 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 58040864 kB, Active: 2616112 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 58040864 kB, Active: 2616112 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 58017304 kB, Active: 2637240 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 58007224 kB, Active: 2652804 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57978080 kB, Active: 2678248 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57954152 kB, Active: 2696840 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57954152 kB, Active: 2696964 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57954152 kB, Active: 2698128 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57953936 kB, Active: 2699212 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57953936 kB, Active: 2699212 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2699248 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:09] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2699544 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2700412 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2700412 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2700412 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2700536 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2700660 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2701528 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2701652 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2701652 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2701652 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:10] Memory: Total: 61649012 kB, Available: 57953688 kB, Active: 2701752 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953692 kB, Active: 2703808 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953692 kB, Active: 2703808 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953692 kB, Active: 2703808 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953692 kB, Active: 2703932 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953692 kB, Active: 2704056 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953440 kB, Active: 2704880 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953440 kB, Active: 2705348 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953440 kB, Active: 2705024 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57953188 kB, Active: 2705644 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57952684 kB, Active: 2705264 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57951928 kB, Active: 2706132 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57951928 kB, Active: 2706132 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57951928 kB, Active: 2706132 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57951928 kB, Active: 2706132 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:11] Memory: Total: 61649012 kB, Available: 57951676 kB, Active: 2706260 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:12] Memory: Total: 61649012 kB, Available: 57950920 kB, Active: 2707856 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:12] Memory: Total: 61649012 kB, Available: 57950920 kB, Active: 2707856 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:12] Memory: Total: 61649012 kB, Available: 57950920 kB, Active: 2707856 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:12] Memory: Total: 61649012 kB, Available: 57950920 kB, Active: 2707856 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:12] Memory: Total: 61649012 kB, Available: 57950920 kB, Active: 2707980 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:01:12] Memory: Total: 61649012 kB, Available: 57949912 kB, Active: 2708848 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
