INFO [2026-03-16 14:06:07] Memory: Total: 61649012 kB, Available: 58832992 kB, Active: 1836392 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:07] Processing missing values ...
INFO [2026-03-16 14:06:07] Figuring out comparisons to do ...
INFO [2026-03-16 14:06:07] Splitting up across compute ...
INFO [2026-03-16 14:06:07] Running correlations ...
INFO [2026-03-16 14:06:08] Memory: Total: 61649012 kB, Available: 57593208 kB, Active: 3037920 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:08] Memory: Total: 61649012 kB, Available: 57552728 kB, Active: 3088588 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:08] Memory: Total: 61649012 kB, Available: 57430352 kB, Active: 3200248 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:08] Memory: Total: 61649012 kB, Available: 57422264 kB, Active: 3203324 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:08] Memory: Total: 61649012 kB, Available: 57422264 kB, Active: 3204628 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57422264 kB, Active: 3206172 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57422264 kB, Active: 3208240 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3209336 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3209784 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3210432 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3212364 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3213636 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3213636 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3214088 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3214336 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3214660 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3214576 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3214700 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3215148 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3215272 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421568 kB, Active: 3215848 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421256 kB, Active: 3216680 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3217780 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3218104 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:09] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3218296 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:10] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3218412 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:10] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3218988 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:10] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3218988 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:10] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3218796 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:10] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3218920 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:10] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3219168 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:06:10] Memory: Total: 61649012 kB, Available: 57421280 kB, Active: 3219616 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
