INFO [2026-03-16 14:02:28] Memory: Total: 61649012 kB, Available: 58820156 kB, Active: 1836236 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:28] Processing missing values ...
INFO [2026-03-16 14:02:29] Figuring out comparisons to do ...
INFO [2026-03-16 14:02:29] Splitting up across compute ...
INFO [2026-03-16 14:02:29] Running correlations ...
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57870588 kB, Active: 2749224 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57861876 kB, Active: 2750012 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57862004 kB, Active: 2751432 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57862020 kB, Active: 2752368 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57862164 kB, Active: 2753464 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57861992 kB, Active: 2754336 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2757040 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2757364 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:30] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2757488 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2757620 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2758392 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2757956 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2758576 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2758700 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2758824 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2758948 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2759272 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861476 kB, Active: 2759056 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
INFO [2026-03-16 14:02:31] Memory: Total: 61649012 kB, Available: 57861224 kB, Active: 2760084 kB, SwapTotal: 40894456 kB, SwapFree: 40861944 kB
